Photo_ID,Filename,Date_Shot,Location_City,Location_Neighborhood,Cluster_Lat,Cluster_Long,Pin_Lat,Pin_Long,Camera,Film_Stock,Favorite,Collection
1,00839_35A.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71762679,-73.9962335372117,Canon Sure Shot,Fuji 400,N,Chinatown
2,00845_29A.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71543108,-73.9976886454477,Canon Sure Shot,Fuji 400,N,Chinatown
3,00847_27A.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71539927,-73.9986659115273,Canon Sure Shot,Fuji 400,N,Chinatown
4,00854_20A.jpg,01/25/2025,NYC,East Elmhurst,40.763553,-73.87256,40.76736552,-73.8849617713827,Canon Sure Shot,Fuji 400,Y,Chinatown
5,00877_36.jpg,01/18/2025,NYC,Bedford-Stuyvesant,40.687627,-73.93896,40.68908438,-73.9572709844216,Canon Sure Shot,Fuji 400,N,Chinatown
6,00890_23.jpg,01/19/2025,NYC,Woodside,40.745381,-73.90539,40.74574001,-73.9025210949942,Canon Sure Shot,Fuji 400,N,Chinatown
7,00895_18.jpg,01/28/2025,NYC,Financial District,40.707882,-74.008559,40.70719157,-74.0107761147146,Canon Sure Shot,Fuji 400,N,Chinatown
8,00903_10.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71464708,-73.9988171682531,Canon Sure Shot,Fuji 400,N,Chinatown
9,00904_9.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71464385,-73.9988284920903,Canon Sure Shot,Fuji 400,Y,Chinatown
10,00906_7.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71525491,-73.9987365306122,Canon Sure Shot,Fuji 400,Y,Chinatown
11,00912_1.jpg,01/29/2025,NYC,Chinatown,40.714424,-73.999557,40.71531914,-73.9986883093075,Canon Sure Shot,Fuji 400,Y,Chinatown
12,00226_37.jpg,02/13/2025,NYC,Financial District,40.707882,-74.008559,40.70269661,-74.0081387546618,Canon Sure Shot,Kodak 400,N,NYC my heart
13,00237_25A.jpg,02/13/2025,NYC,Downtown Brooklyn,40.697521,-73.982246,40.69407715,-73.9870098197323,Canon Sure Shot,Kodak 400,Y,NYC my heart
14,00253_9A.jpg,02/13/2025,NYC,Financial District,40.707882,-74.008559,40.70393363,-74.0091440560095,Canon Sure Shot,Kodak 400,Y,NYC my heart
15,00259_3A.jpg,02/13/2025,NYC,Financial District,40.707882,-74.008559,40.70791487,-74.0100316071433,Canon Sure Shot,Kodak 400,N,NYC my heart
16,000703060008.jpg,12/28/2024,NYC,Woodside,40.745381,-73.90539,40.74397313,-73.9015953688361,Ricoh FF-9S,Harman Phoenix 200,N,ORANGE
17,000703060014.jpg,12/25/2024,NYC,Financial District,40.707882,-74.008559,40.70541552,-74.0099890351082,Ricoh FF-9S,Harman Phoenix 200,Y,ORANGE
18,000703060015.jpg,12/25/2024,NYC,Financial District,40.707882,-74.008559,40.70325846,-74.0100607751521,Ricoh FF-9S,Harman Phoenix 200,Y,ORANGE
19,000703060030.jpg,12/28/2024,NYC,Greenpoint,40.727095,-73.946729,40.72617679,-73.9303708400226,Ricoh FF-9S,Harman Phoenix 200,N,ORANGE
20,000712810003.jpg,02/03/2025,NYC,Noho,40.724601,-73.99162,40.73013153,-73.9912594397860,Canon Sure Shot,Fuji 400,N,Best Roll
21,000712810007.jpg,02/03/2025,NYC,Noho,40.724601,-73.99162,40.72991347,-73.9910548480114,Canon Sure Shot,Fuji 400,N,Best Roll
22,000712810009.jpg,02/03/2025,NYC,East Village,40.729303,-73.98736,40.72686577,-73.9834822774740,Canon Sure Shot,Fuji 400,N,Best Roll
23,000712810014.jpg,02/03/2025,NYC,Midtown,40.759957,-73.980419,40.72844342,-73.9874236760200,Canon Sure Shot,Fuji 400,Y,Best Roll
24,000712810028.jpg,02/03/2025,NYC,Midtown,40.759957,-73.980419,40.75203705,-73.9955111196229,Canon Sure Shot,Fuji 400,Y,Best Roll
25,000712810029.jpg,02/03/2025,NYC,Midtown,40.759957,-73.980419,40.75170788,-73.9959805098204,Canon Sure Shot,Fuji 400,N,Best Roll
26,00084_33A.jpg,01/03/2025,NYC,Woodside,40.745381,-73.90539,40.74555403,-73.9046024679820,Canon Sure Shot,Fuji 400,N,Shite snow day
27,00099_18A.jpg,01/03/2025,NYC,Woodside,40.745381,-73.90539,40.74934455,-73.9008346473834,Canon Sure Shot,Fuji 400,N,Shite snow day
28,00104_13A.jpg,01/03/2025,NYC,Woodside,40.745381,-73.90539,40.74857499,-73.9009023349055,Canon Sure Shot,Fuji 400,N,Shite snow day
29,00115_2A.jpg,01/03/2025,NYC,Jackson Heights,40.755673,-73.885393,40.74965836,-73.8838658447197,Canon Sure Shot,Fuji 400,Y,Shite snow day
30,00127_29A.jpg,11/16/2024,NYC,Financial District,40.707882,-74.008559,40.70640211,-74.0096483075539,Ricoh FF-9S,Kodak 200,N,TEST decent
31,00131_25A.jpg,11/16/2024,NYC,Financial District,40.707882,-74.008559,40.70310126,-74.0102779299225,Ricoh FF-9S,Kodak 200,N,TEST decent
32,00139_17A.jpg,11/16/2024,NYC,Financial District,40.707882,-74.008559,40.70242509,-74.0094496116689,Ricoh FF-9S,Kodak 200,N,TEST decent
33,00141_15A.jpg,11/16/2024,NYC,Woodside,40.745381,-73.90539,40.74553931,-73.9023647604342,Ricoh FF-9S,Kodak 200,N,TEST decent
34,00144_12A.jpg,11/16/2024,NYC,Flushing,40.761516,-73.831093,40.76208387,-73.8155257902658,Ricoh FF-9S,Kodak 200,N,TEST decent
35,00145_11A.jpg,11/16/2024,NYC,Flushing,40.761516,-73.831093,40.75803729,-73.8309310073094,Ricoh FF-9S,Kodak 200,N,TEST decent
36,6438-08.jpg,08/09/2025,NYC,Jackson Heights,40.755673,-73.885393,40.74692417,-73.8924187315626,Canon Sure Shot,Kodak 400,N,"jhood, soho"
37,6438-10.jpg,08/09/2025,NYC,Jackson Heights,40.755673,-73.885393,40.74721081,-73.8920816629461,Canon Sure Shot,Kodak 400,Y,"jhood, soho"
38,6438-17.jpg,08/09/2025,NYC,Astoria,40.771924,-73.93014,40.77533033,-73.9115403727210,Canon Sure Shot,Kodak 400,Y,"jhood, soho"
39,6438-20.jpg,08/10/2025,NYC,Soho,40.724156,-74.001057,40.72290313,-73.9990745646334,Canon Sure Shot,Kodak 400,Y,"jhood, soho"
40,6438-22.jpg,08/10/2025,NYC,Soho,40.724156,-74.001057,40.72413839,-73.9977182275113,Canon Sure Shot,Kodak 400,N,"jhood, soho"
41,6438-12.jpg,08/07/2025,NYC,Jackson Heights,40.755673,-73.885393,40.747155,-73.8922730000000,Canon Sure Shot,Kodak 400,N,"jhood, soho"
42,000712820008.jpg,02/18/2025,NYC,Hudson Yards,40.754174,-74.000928,40.75500031,-74.0010693887517,Ricoh FF-9S,Cinestill 800,Y,The city
43,000712820020.jpg,02/18/2025,NYC,Hudson Yards,40.754174,-74.000928,40.75133931,-73.9935266495411,Ricoh FF-9S,Cinestill 800,N,The city
44,000712820027.jpg,02/18/2025,NYC,Midtown,40.759957,-73.980419,40.75057498,-73.9916996740604,Ricoh FF-9S,Cinestill 800,Y,The city
45,000567880003.jpg,01/19/2026,NYC,Chinatown,40.714424,-73.999557,40.71603298,-73.9963932946055,Pentax K1000,Portra 400,N,Ukranian village
46,000567880006.jpg,01/19/2026,NYC,Lower East Side,40.71814707,-73.98494099,40.72924494,-73.9899419966567,Pentax K1000,Portra 400,N,Ukranian village
47,000567880024.jpg,01/17/2026,NYC,Greenpoint,40.727095,-73.946729,40.72683044,-73.9546224747714,Pentax K1000,Portra 400,N,Ukranian village
48,000567880026.jpg,01/17/2026,NYC,Greenpoint,40.727095,-73.946729,40.72942908,-73.9592530282740,Pentax K1000,Portra 400,N,Ukranian village
